mu_A,lambda_A,c_Q,bias_ratio,a_L,m_L,a_H,m_H,a_B_H,m_B_H,a_B_L,m_B_L,downward_distortion,IC_L_slack,IC_H_slack,IR_L_slack,IR_H_slack,active_constraints,IC_L_active,IC_H_active,IR_L_active,IR_H_active
0.4,8.0,2.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.4,10.0,2.0,12.5,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.4,12.0,2.0,15.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.4,14.0,2.0,17.5,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.4,16.0,2.0,20.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.4,18.0,2.0,22.5,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.4,20.0,2.0,25.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,2.0,2.0,2.0,1.0,6.666668048330272,1.0,3.999999200637984,1.0,3.999999200637984,1.0,6.666668048330272,0.0,1.0666673061561056,1.777779619996224,86.66666666666639,83.99999999999983,None,False,False,False,False
0.5,4.0,2.0,4.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,6.0,2.0,6.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,8.0,2.0,8.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,10.0,2.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,12.0,2.0,12.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,14.0,2.0,14.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,16.0,2.0,16.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,18.0,2.0,18.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,20.0,2.0,20.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,2.0,2.0,1.6666666666666667,1.0,6.666663459973735,1.0,3.999999285217757,1.0,4.000007411275402,1.0,6.666680269095466,0.0,1.066667238490993,1.7777735021896461,86.66666666666512,83.99999999999987,None,False,False,False,False
0.6,4.0,2.0,3.3333333333333335,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,6.0,2.0,5.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,8.0,2.0,6.666666666666667,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,10.0,2.0,8.333333333333334,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,12.0,2.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,14.0,2.0,11.666666666666668,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,16.0,2.0,13.333333333333334,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,18.0,2.0,15.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,20.0,2.0,16.666666666666668,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,2.0,2.0,1.4285714285714284,1.0,6.6666513504294045,1.0,4.000000128696523,1.0,4.000000128696523,1.0,6.6666513504294045,0.0,1.066666563674275,1.7777573561867257,86.66666666663149,83.99999999999999,None,False,False,False,False
0.7000000000000001,4.0,2.0,2.8571428571428568,7.77405763184235e-15,10.0,0.999107148809963,9.999999999999932,1.0,9.714283450329882,0.0,10.0,0.000892851190037014,-7.105427357601002e-14,2.1316282072803006e-13,85.0,75.00000000000021,IC_L+IC_H,True,True,False,False
0.7000000000000001,6.0,2.0,4.285714285714286,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,8.0,2.0,5.7142857142857135,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,10.0,2.0,7.142857142857142,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,12.0,2.0,8.571428571428571,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,14.0,2.0,9.999999999999998,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,16.0,2.0,11.428571428571427,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,18.0,2.0,12.857142857142856,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,20.0,2.0,14.285714285714285,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,2.0,2.0,1.25,1.0,6.666663961011057,1.0,3.99999923582667,1.0,3.999991029321974,1.0,6.666685960135094,0.0,1.0666672780043314,1.7777741702386436,86.66666666666558,83.99999999999986,None,False,False,False,False
0.8,4.0,2.0,2.5,0.28778482905040215,10.0,0.9839114055619873,9.999999999999762,1.0,9.000000355271158,0.28778482905040215,10.0,0.016088594438012693,-5.684341886080802e-14,5.400124791776761e-13,85.0,75.00000000000054,IC_L+IC_H,True,True,False,False
0.8,6.0,2.0,3.75,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,8.0,2.0,5.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,10.0,2.0,6.25,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,12.0,2.0,7.5,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,14.0,2.0,8.75,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,16.0,2.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,18.0,2.0,11.25,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,20.0,2.0,12.5,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,2.0,2.0,1.1111111111111112,1.0,6.666673460282143,1.0,3.9999972356658966,1.0,3.9999972356658966,1.0,6.666673460282143,0.0,1.0666688781281692,1.7777868359413702,86.66666666665974,83.99999999999808,None,False,False,False,False
