case,k,Lambda,c_Q,lambda_A,mu_A,Delta,gamma_bar,soc_value,is_concave,a_SE_closed,a_SE_grid,discrepancy,matches,note
Valid_SOC_Regime,5.0,4.0,2.0,19.563550698942827,1.0,15.563550698942827,6.7295725612919615,104.73604373988198,True,0.5,0.5,0.0,True,Closed form 0.5000 matches grid search 0.5000 (discrepancy 0.000000).
Unbiased_Baseline_Regime,10.0,5.0,2.0,2.0,1.0,-3.0,8.243121887367197,-24.729365662101593,False,1.06010035983301,0.0,1.06010035983301,False,"SOC failed (Delta*gamma_bar = -24.7294 <= 0). Pi(a) is strictly CONVEX, so critical point 1.0601 is a MINIMUM, and grid search maximizes at boundary 0.0000."
