kappa_L,kappa_H,heterogeneity,bias,lambda_A,pi_pooling,pi_screening,payoff_gap,dominance_holds,a_SE,pooling_regime,a_L_screen,a_H_screen
0.3,0.35,0.04999999999999999,0.0,2.0,83.75,86.19047618047588,2.4404761804758834,True,0.0,corner,0.9999999999999936,0.9999999999999815
0.3,0.35,0.04999999999999999,1.0,3.0,83.75,83.84615383615379,0.09615383615378903,True,0.0,corner,0.9999999999999996,1.0
0.3,0.35,0.04999999999999999,2.0,4.0,83.75,83.75,0.0,True,0.0,corner,5.758632424951686e-16,0.693035109837873
0.3,0.35,0.04999999999999999,3.0,5.0,83.75,83.75,0.0,True,0.0,corner,2.3835494368951593e-16,0.6849965757794053
0.3,0.35,0.04999999999999999,4.0,6.0,83.75,83.75,0.0,True,0.0,corner,9.816220201555174e-16,0.6166665951410856
0.3,0.4,0.10000000000000003,0.0,2.0,82.5,85.83333332333284,3.3333333233328375,True,0.0,corner,0.9999999999999926,0.9999999999999798
0.3,0.4,0.10000000000000003,1.0,3.0,82.5,82.86111110111065,0.3611111011106516,True,0.0,corner,1.0,0.9633336102351836
0.3,0.4,0.10000000000000003,2.0,4.0,82.5,82.5,0.0,True,0.0,corner,2.4627296061437617e-15,0.6808605353037308
0.3,0.4,0.10000000000000003,3.0,5.0,82.5,82.5,0.0,True,0.0,corner,4.521432581689017e-16,0.6484843078219852
0.3,0.4,0.10000000000000003,4.0,6.0,82.5,82.5,0.0,True,0.0,corner,7.38393127750867e-16,0.4666667302449554
0.3,0.45,0.15000000000000002,0.0,2.0,81.25,85.55555554555555,4.305555545555549,True,0.0,corner,1.0,1.0
0.3,0.45,0.15000000000000002,1.0,3.0,81.25,82.16666665666476,0.9166666566647592,True,0.0,corner,1.0,0.9399997656835068
0.3,0.45,0.15000000000000002,2.0,4.0,81.25,81.26984126984061,0.01984126984061163,True,0.0,corner,9.89675330627204e-16,0.6904762014435576
0.3,0.45,0.15000000000000002,3.0,5.0,81.25,81.25,0.0,True,0.0,corner,0.0,0.6560374628882917
0.3,0.45,0.15000000000000002,4.0,6.0,81.25,81.25,0.0,True,0.0,corner,1.9724310100152473e-16,0.31666622956594925
0.3,0.5,0.2,0.0,2.0,80.0,85.33333332333271,5.33333332333271,True,0.0,corner,0.9999999999999919,0.9999999999999645
0.3,0.5,0.2,1.0,3.0,80.0,81.70370369370401,1.7037036937040142,True,0.0,corner,0.9999999999999992,0.9688889340620989
0.3,0.5,0.2,2.0,4.0,80.0,80.27777777777771,0.2777777777777146,True,0.0,corner,7.316888633305113e-16,0.7499999559235518
0.3,0.5,0.2,3.0,5.0,80.0,80.0,0.0,True,0.0,corner,9.783733335784617e-17,0.6747768751266106
0.3,0.5,0.2,4.0,6.0,80.0,80.0,0.0,True,0.0,corner,7.74603024950855e-16,0.14355536954792086
0.3,0.6,0.3,0.0,2.0,77.91666666666667,84.99999998999986,7.083333323333193,True,0.0,corner,1.0,1.0
0.3,0.6,0.3,1.0,3.0,77.91666666666667,81.11111110111122,3.1944444344445486,True,0.0,corner,0.9999999999999971,0.9999999999999836
0.3,0.6,0.3,2.0,4.0,77.91666666666667,78.88888888888889,0.9722222222222143,True,0.0,corner,0.0,0.833333333333333
0.3,0.6,0.3,3.0,5.0,77.91666666666667,77.91666666666667,0.0,True,0.0,corner,0.0,0.0
0.3,0.6,0.3,4.0,6.0,77.91666666666667,77.91666666666667,0.0,True,0.0,corner,0.0,0.0
