mu_A,lambda_A,c_Q,a_SE,regime,soc_value,da_dmu_num,da_dlam_num,numerical_ratio,analytical_ratio,ratio_error
0.4,19.555784725597665,2.0,0.5840156476426491,interior,120.85562703147612,-0.12130996119352755,0.0024813110360843993,-48.88946183262827,-48.88946181399416,1.8634111143001064e-08
0.45,19.555784725597665,2.0,0.5778818282118349,interior,119.50948005011712,-0.12405820751126839,0.0028547150693336576,-43.45729941455272,-43.45729939021703,2.4335690795851406e-08
0.5,19.555784725597665,2.0,0.5716082526943134,interior,118.16333306875813,-0.12690091402645098,0.003244587618578265,-39.111569464121075,-39.11156945119533,1.2925745807024214e-08
0.55,19.555784725597665,2.0,0.565190089637439,interior,116.81718608739915,-0.12984245979286158,0.003651776384061556,-35.555972254919126,-35.55597222835939,2.6559739296772022e-08
0.6,19.555784725597665,2.0,0.5586222822906758,interior,115.47103910604015,-0.13288748059669953,0.0040771817361173746,-32.592974558756325,-32.59297454266277,1.609355138043611e-08
0.65,19.555784725597665,2.0,0.5518995353182202,interior,114.12489212468114,-0.13604088723084828,0.004521760588183099,-30.085822674108282,-30.085822654765636,1.9342646595532642e-08
0.7,19.555784725597665,2.0,0.5450163005600225,interior,112.77874514332215,-0.13930788531124616,0.004986530637296482,-27.936835335834594,-27.93683532228238,1.35522135735755e-08
0.75,19.555784725597665,2.0,0.537966761760735,interior,111.43259816196317,-0.14269399676525296,0.005472574944875852,-26.074379648078086,-26.07437963413022,1.3947865085128797e-08
0.8,19.555784725597665,2.0,0.5307448181782455,interior,110.08645118060417,-0.14620508319074244,0.005981046944936175,-24.44473092031593,-24.44473090699708,1.331885002286981e-08
0.85,19.555784725597665,2.0,0.5233440669747051,interior,108.74030419924519,-0.14984737123246994,0.006513175884736988,-23.006805571399212,-23.006805559526665,1.1872547389657484e-08
0.8999999999999999,19.555784725597665,2.0,0.515757784283223,interior,107.39415721788619,-0.1536274802099724,0.0070702727633653595,-21.728649707263585,-21.72864969510852,1.2155066286823057e-08
0.95,19.555784725597665,2.0,0.5079789048325543,interior,106.04801023652719,-0.15755245221127367,0.00765373681543835,-20.585036565860833,-20.5850365532607,1.260013249293479e-08
1.0,19.555784725597665,2.0,0.5,interior,104.70186325516819,-0.16162978491690572,0.008265062593215688,-19.55578473774394,-19.555784725597665,1.2146276873181705e-08
1.0499999999999998,19.555784725597665,2.0,0.49181325414922017,interior,103.35571627380921,-0.16586746743402214,0.008905847714291149,-18.624556892866675,-18.62455688152159,1.134508664790701e-08
1.1,19.555784725597665,2.0,0.4834104390945288,interior,102.00956929245021,-0.1702740194517438,0.00957780134674957,-17.777986125127757,-17.777986114179694,1.0948063788873696e-08
1.15,19.555784725597665,2.0,0.4747828865162943,interior,100.66342231109122,-0.17485853410798002,0.010282753513113363,-17.005030207617725,-17.005030196171884,1.1445841607837792e-08
1.2,19.555784725597665,2.0,0.46592145813304703,interior,99.31727532973221,-0.17963072492965804,0.011022665302728996,-16.296487282906522,-16.296487271331387,1.1575135516750379e-08
