kappa,k,q1,q2,m1,m2,dm,unspecified1,lhs_ass1,ass1_holds,mono_holds,cross_partial_negative,m_soph,m_naive,u_soph,u_naive,welfare_loss,naive_worse,naive_underspec
0.2,6,0.87,0.88,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.88,0.89,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.89,0.9,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.9,0.91,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.91,0.9199999999999999,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.9199999999999999,0.9299999999999999,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.9299999999999999,0.94,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.94,0.95,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.95,0.96,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.96,0.97,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.97,0.98,6.0,6.0,0.0,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,6,0.98,0.99,6.0,4.974,-1.0259999999999998,0.0,-0.0,True,True,True,6.0,6.0,96.4,96.4,0.0,True,True
0.2,7,0.7,0.71,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.71,0.72,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.72,0.73,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.73,0.74,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.74,0.75,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.75,0.76,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.76,0.77,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.77,0.78,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.78,0.79,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.79,0.7999999999999999,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.7999999999999999,0.8099999999999999,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.8099999999999999,0.82,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.82,0.83,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.83,0.84,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.84,0.85,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.85,0.86,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.86,0.87,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.87,0.88,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.88,0.89,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.89,0.9,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.9,0.91,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
