kappa,m_FB,a_FB,U_FB,is_optimal
0.1,50.0,0.0,175.0,True
0.101,49.5049504950495,0.0,173.76237623762376,True
0.10200000000000001,49.01960784313725,0.0,172.54901960784312,True
0.10300000000000001,48.543689320388346,0.0,171.3592233009709,True
0.10400000000000001,48.07692307692307,0.0,170.19230769230768,True
0.10500000000000001,47.61904761904761,0.0,169.04761904761904,True
0.10600000000000001,47.16981132075471,0.0,167.92452830188677,True
0.10700000000000001,46.72897196261682,0.0,166.82242990654203,True
0.10800000000000001,46.29629629629629,0.0,165.74074074074076,True
0.10900000000000001,45.871559633027516,0.0,164.67889908256882,True
0.11,45.45454545454545,0.0,163.63636363636363,True
0.111,45.04504504504504,0.0,162.61261261261262,True
0.112,44.64285714285714,0.0,161.60714285714283,True
0.113,44.24778761061947,0.0,160.61946902654867,True
0.114,43.859649122807014,0.0,159.64912280701753,True
0.115,43.47826086956522,0.0,158.69565217391306,True
0.116,43.103448275862064,0.0,157.7586206896552,True
0.117,42.73504273504273,0.0,156.8376068376068,True
0.11800000000000001,42.3728813559322,0.0,155.9322033898305,True
0.11900000000000001,42.016806722689076,0.0,155.0420168067227,True
0.12000000000000001,41.666666666666664,0.0,154.16666666666666,True
0.12100000000000001,41.32231404958677,0.0,153.30578512396693,True
0.122,40.98360655737705,0.0,152.45901639344262,True
0.123,40.65040650406504,0.0,151.6260162601626,True
0.124,40.32258064516129,0.0,150.80645161290323,True
0.125,40.0,0.0,150.0,True
0.126,39.682539682539684,0.0,149.20634920634922,True
0.127,39.37007874015748,0.0,148.4251968503937,True
0.128,39.0625,0.0,147.65625,True
0.129,38.75968992248062,0.0,146.89922480620154,True
0.13,38.46153846153846,0.0,146.15384615384613,True
0.131,38.167938931297705,0.0,145.41984732824426,True
0.132,37.878787878787875,0.0,144.6969696969697,True
0.133,37.59398496240601,0.0,143.98496240601503,True
0.134,37.31343283582089,0.0,143.28358208955223,True
0.135,37.03703703703704,0.0,142.59259259259258,True
0.136,36.76470588235294,0.0,141.91176470588232,True
0.137,36.4963503649635,0.0,141.24087591240874,True
0.138,36.23188405797101,0.0,140.5797101449275,True
0.139,35.97122302158273,0.0,139.92805755395682,True
0.14,35.71428571428571,0.0,139.28571428571428,True
0.14100000000000001,35.46099290780141,0.0,138.65248226950354,True
0.14200000000000002,35.2112676056338,0.0,138.02816901408448,True
0.14300000000000002,34.96503496503496,0.0,137.4125874125874,True
0.14400000000000002,34.72222222222222,0.0,136.80555555555554,True
0.14500000000000002,34.48275862068965,0.0,136.20689655172413,True
0.14600000000000002,34.246575342465746,0.0,135.6164383561644,True
0.14700000000000002,34.01360544217687,0.0,135.03401360544217,True
0.14800000000000002,33.78378378378378,0.0,134.45945945945945,True
0.14900000000000002,33.55704697986577,0.0,133.8926174496644,True
0.15000000000000002,33.33333333333333,0.0,133.33333333333331,True
0.15100000000000002,33.11258278145695,0.0,132.78145695364236,True
0.15200000000000002,32.89473684210526,0.0,132.23684210526315,True
0.153,32.6797385620915,0.0,131.69934640522877,True
0.154,32.467532467532465,0.0,131.16883116883116,True
0.155,32.25806451612903,0.0,130.64516129032256,True
0.156,32.05128205128205,0.0,130.12820512820514,True
0.157,31.84713375796178,0.0,129.6178343949045,True
0.158,31.645569620253163,0.0,129.1139240506329,True
0.159,31.446540880503143,0.0,128.61635220125785,True
0.16,31.25,0.0,128.125,True
0.161,31.055900621118013,0.0,127.63975155279503,True
0.162,30.864197530864196,0.0,127.1604938271605,True
0.163,30.67484662576687,0.0,126.68711656441718,True
0.164,30.48780487804878,0.0,126.21951219512195,True
0.165,30.3030303030303,0.0,125.75757575757575,True
0.166,30.12048192771084,0.0,125.3012048192771,True
0.167,29.94011976047904,0.0,124.85029940119757,True
0.168,29.76190476190476,0.0,124.4047619047619,True
0.169,29.585798816568044,0.0,123.96449704142013,True
0.17,29.41176470588235,0.0,123.52941176470588,True
0.171,29.23976608187134,0.0,123.09941520467835,True
0.17200000000000001,29.069767441860463,0.0,122.67441860465114,True
0.173,28.901734104046245,0.0,122.25433526011561,True
0.174,28.73563218390805,0.0,121.8390804597701,True
0.175,28.571428571428573,0.0,121.42857142857143,True
0.176,28.40909090909091,0.0,121.02272727272728,True
0.177,28.24858757062147,0.0,120.62146892655367,True
0.178,28.08988764044944,0.0,120.22471910112358,True
0.179,27.932960893854748,0.0,119.83240223463689,True
0.18,27.77777777777778,0.0,119.44444444444444,True
0.181,27.624309392265193,0.0,119.06077348066299,True
0.182,27.472527472527474,0.0,118.68131868131869,True
0.183,27.3224043715847,0.0,118.30601092896173,True
0.184,27.17391304347826,0.0,117.93478260869566,True
0.185,27.027027027027028,0.0,117.56756756756758,True
0.186,26.881720430107528,0.0,117.20430107526882,True
0.187,26.737967914438503,0.0,116.84491978609626,True
0.188,26.595744680851062,0.0,116.48936170212765,True
