lambda_A,c_Q,a_SE,a_SE_grid,regime,a_SE_closed,soc_value,is_concave,R0_bar,gamma_bar,R_a,regularity_condition,foc_sign_predicted
1.0,2.0,0.0,0.0,corner,0.8517670264996768,-32.97248754946879,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
1.2916666666666667,2.0,0.0,0.0,corner,0.9009243298704634,-30.568243665653352,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
1.5833333333333335,2.0,0.0,0.0,corner,0.9584743435728477,-28.163999781837923,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
1.875,2.0,0.0,0.0,corner,1.0267670264996769,-25.75975589802249,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
2.166666666666667,2.0,0.0,0.0,corner,1.1091199676761476,-23.355512014207054,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
2.4583333333333335,2.0,0.0,0.0,corner,1.210373583876726,-20.951268130391625,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
2.75,2.0,0.0,0.0,corner,1.337878137610788,-18.547024246576193,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
3.041666666666667,2.0,0.0,0.0,corner,1.5033627711805284,-16.142780362760757,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
3.3333333333333335,2.0,0.0,0.0,corner,1.7267670264996768,-13.738536478945328,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
3.625,2.0,0.0,0.0,corner,2.044948844681495,-11.334292595129895,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
3.916666666666667,2.0,0.0,0.0,corner,2.534459334191985,-8.93004871131446,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
4.208333333333334,2.0,0.0,0.0,corner,3.384661763341785,-6.525804827499026,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
4.5,2.0,0.0,0.0,corner,5.226767026499677,-4.1215609436835985,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
4.791666666666667,2.0,0.0,0.0,corner,12.226767026499694,-1.7173170598681635,False,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
5.083333333333334,2.0,0.0,0.0,corner,-29.773232973500107,0.6869268239472713,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
5.375,2.0,0.0,0.0,corner,-6.439899640166989,3.091170707762699,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
5.666666666666667,2.0,0.0,0.0,corner,-3.5232329735003214,5.495414591578133,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
5.958333333333334,2.0,0.0,0.0,corner,-2.3819286256742345,7.899658475393569,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
6.25,2.0,0.0,0.0,corner,-1.7732329735003232,10.303902359208996,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
6.541666666666667,2.0,0.0,0.0,corner,-1.3948545951219442,12.708146243024432,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
6.833333333333334,2.0,0.0,0.0,corner,-1.1368693371366863,15.112390126839866,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
7.125,2.0,0.0,0.0,corner,-0.9497035617356171,17.516634010655295,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
7.416666666666667,2.0,0.0,0.0,corner,-0.8077157321210126,19.920877894470728,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
7.708333333333334,2.0,0.0,0.0,corner,-0.6963098965772458,22.325121778286164,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
8.0,2.0,0.0,0.0,corner,-0.6065663068336563,24.729365662101593,True,-3.7385364789453277,8.243121887367197,-3.7385364789453277,False,3.7385364789453277
