mu_A,lambda_A,c_Q,bias_ratio,a_L,m_L,a_H,m_H,IC_L_slack,IC_H_slack,IR_L_slack,IR_H_slack,active_constraints,IC_L_active,IC_H_active,IR_L_active,IR_H_active
0.5,2.0,2.0,2.0,0.9999999999999972,6.666665417831582,0.9999999999999902,4.0,1.0666666666665918,1.7777761126645686,86.6666666666664,83.99999999999982,None,False,False,False,False
0.5,4.0,2.0,4.0,8.62329258669739e-16,10.0,0.03733263506663939,9.999999999999995,1.4210854715202004e-14,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,6.0,2.0,6.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,8.0,2.0,8.0,2.199225896785902e-17,10.0,0.24671037991173783,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,10.0,2.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,12.0,2.0,12.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,14.0,2.0,14.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,16.0,2.0,16.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,18.0,2.0,18.0,0.0,10.0,0.49999999999929656,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.5,20.0,2.0,20.0,0.0,10.0,0.4999999999935625,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,2.0,2.0,1.6666666666666667,0.9999999999999849,6.66666650859094,0.9999999999999853,3.99999956159029,1.066667017394579,1.7777775670099913,86.66666666666652,83.99999999999969,None,False,False,False,False
0.6,4.0,2.0,3.3333333333333335,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,6.0,2.0,5.0,0.0,10.0,0.1435563603170233,9.999999999999995,1.4210854715202004e-14,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,8.0,2.0,6.666666666666667,1.5194105893167074e-16,10.0,0.24671045939863318,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,10.0,2.0,8.333333333333334,0.0,9.999999999999998,0.33333333333334025,10.0,-1.4210854715202004e-14,0.0,84.99999999999999,75.0,IC_L+IC_H,True,True,False,False
0.6,12.0,2.0,10.0,0.0,10.0,0.41666666666666474,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,14.0,2.0,11.666666666666668,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,16.0,2.0,13.333333333333334,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,18.0,2.0,15.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.6,20.0,2.0,16.666666666666668,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,2.0,2.0,1.4285714285714284,1.0,6.666666698652111,1.0,4.0,1.0666666666666629,1.7777778204250438,86.66666666666666,84.0,None,False,False,False,False
0.7000000000000001,4.0,2.0,2.8571428571428568,3.0742992441510895e-16,10.0,0.6764705473396052,9.803922386541533,-1.4210854715202004e-14,0.38831058386699624,85.0,75.388310583867,IC_L,True,False,False,False
0.7000000000000001,6.0,2.0,4.285714285714286,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,8.0,2.0,5.7142857142857135,5.94621780869386e-17,10.0,0.24671037991806585,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,10.0,2.0,7.142857142857142,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,12.0,2.0,8.571428571428571,0.0,10.0,0.4166666666666533,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
